,player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries,year,progressive_passes_per90,progressive_carries_per90
83,Ciaran Clark 18,DF,Newcastle Utd,28,858.0,0.05,0.05,0.09,0.05,0.09,21.0,0.63,4.0,0.0,0.0,0.0,1.0,9.0,18,2.202797202797203,0.9440559440559441
84,Tom Cleverley 18,"MF,FW",Watford,28,478.0,0.04,0.0,0.04,0.04,0.04,15.0,0.75,2.0,0.0,0.0,1.0,1.0,12.0,18,2.8242677824267783,2.2594142259414225
85,Nathaniel Clyne 18,DF,Liverpool,27,111.0,0.04,0.0,0.04,0.04,0.04,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18,3.243243243243243,5.675675675675675
86,Nathaniel Clyne 18,DF,Bournemouth,27,1143.0,0.02,0.01,0.03,0.02,0.03,44.0,0.79,10.0,0.0,0.0,0.0,0.0,36.0,18,3.4645669291338583,2.834645669291339
87,Conor Coady 18,DF,Wolves,25,3420.0,0.0,0.0,0.0,0.0,0.0,62.0,0.29,11.0,0.0,0.0,0.0,0.0,79.0,18,1.631578947368421,2.0789473684210527
88,Joel Coleman 18,GK,Huddersfield,22,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
89,Séamus Coleman 18,DF,Everton,29,2558.0,0.04,0.08,0.12,0.04,0.12,114.0,1.37,32.0,1.0,2.0,1.0,1.0,133.0,18,4.010946051602815,4.679437060203284
90,Lewis Cook 18,MF,Bournemouth,21,723.0,0.01,0.01,0.02,0.01,0.02,37.0,1.62,11.0,0.0,1.0,0.0,1.0,21.0,18,4.605809128630705,2.6141078838174274
91,Steve Cook 18,DF,Bournemouth,27,2786.0,0.04,0.04,0.08,0.04,0.08,89.0,0.68,14.0,4.0,1.0,1.0,1.0,59.0,18,2.8750897343862167,1.9059583632447954
92,Jack Cork 18,MF,Burnley,29,3312.0,0.04,0.04,0.08,0.04,0.08,88.0,1.3,37.0,0.0,1.0,2.0,5.0,70.0,18,2.3913043478260874,1.9021739130434785
93,Hélder Costa 18,"FW,MF",Wolves,24,1341.0,0.16,0.11,0.27,0.16,0.27,34.0,2.35,25.0,3.0,5.0,0.0,2.0,102.0,18,2.2818791946308723,6.845637583892617
94,Aaron Cresswell 18,DF,West Ham,28,1589.0,0.03,0.05,0.08,0.03,0.08,65.0,1.64,19.0,6.0,0.0,3.0,0.0,88.0,18,3.6815607300188797,4.984266834487099
95,Peter Crouch 18,FW,Burnley,37,92.0,0.35,0.0,0.35,0.35,0.35,2.0,1.96,1.0,0.0,0.0,1.0,0.0,0.0,18,1.956521739130435,0.0
96,Greg Cunningham 18,DF,Cardiff City,27,630.0,0.0,0.02,0.03,0.0,0.03,12.0,1.0,7.0,0.0,0.0,0.0,0.0,14.0,18,1.7142857142857142,2.0
97,Diogo Dalot 18,"DF,MF",Manchester Utd,19,1013.0,0.05,0.18,0.22,0.05,0.22,41.0,2.13,18.0,1.0,3.0,2.0,0.0,56.0,18,3.642645607107601,4.975320829220138
98,Matty Daly 18,MF,Huddersfield,17,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18,0.0,3.5999999999999996
99,Loïc Damour 18,MF,Cardiff City,27,23.0,0.08,0.0,0.08,0.08,0.08,0.0,7.83,1.0,0.0,0.0,1.0,0.0,2.0,18,0.0,7.82608695652174
100,Charlie Daniels 18,DF,Bournemouth,31,1585.0,0.03,0.04,0.06,0.03,0.06,77.0,1.42,24.0,1.0,0.0,0.0,0.0,82.0,18,4.37223974763407,4.65615141955836
101,Danilo 18,DF,Manchester City,27,807.0,0.05,0.04,0.09,0.05,0.09,56.0,1.78,12.0,0.0,1.0,2.0,1.0,82.0,18,6.245353159851301,9.144981412639405
102,Scott Dann 18,DF,Crystal Palace,31,663.0,0.04,0.0,0.04,0.04,0.04,15.0,0.54,1.0,0.0,0.0,3.0,0.0,14.0,18,2.0361990950226247,1.900452488687783
103,Matteo Darmian 18,DF,Manchester Utd,28,443.0,0.01,0.02,0.03,0.01,0.03,12.0,0.41,2.0,0.0,0.0,0.0,0.0,8.0,18,2.437923250564334,1.6252821670428892
104,Ben Davies 18,DF,Tottenham,25,1844.0,0.04,0.1,0.14,0.04,0.14,110.0,1.71,25.0,3.0,1.0,2.0,1.0,122.0,18,5.368763557483732,5.954446854663775
105,Tom Davies 18,MF,Everton,20,980.0,0.03,0.05,0.08,0.03,0.08,41.0,1.01,9.0,0.0,1.0,0.0,1.0,48.0,18,3.7653061224489797,4.408163265306122
106,Steven Davis 18,MF,Southampton,33,98.0,0.0,0.62,0.62,0.0,0.62,7.0,5.51,6.0,0.0,0.0,0.0,0.0,2.0,18,6.428571428571429,1.8367346938775513
107,Kevin De Bruyne 18,MF,Manchester City,27,975.0,0.2,0.32,0.52,0.2,0.52,86.0,5.82,44.0,10.0,4.0,1.0,4.0,116.0,18,7.938461538461538,10.707692307692307
108,Troy Deeney 18,FW,Watford,30,2545.0,0.36,0.17,0.53,0.34,0.5,104.0,2.37,55.0,0.0,1.0,5.0,4.0,63.0,18,3.6777996070726915,2.2278978388998034
109,Jermain Defoe 18,FW,Bournemouth,35,25.0,1.68,0.0,1.68,1.68,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
110,Steven Defour 18,MF,Burnley,30,448.0,0.0,0.02,0.02,0.0,0.02,19.0,0.8,3.0,1.0,0.0,0.0,0.0,26.0,18,3.8169642857142856,5.223214285714286
111,Fabian Delph 18,DF,Manchester City,28,725.0,0.01,0.04,0.05,0.01,0.05,48.0,1.37,11.0,0.0,0.0,0.0,0.0,60.0,18,5.958620689655173,7.448275862068965
112,Mousa Dembélé 18,MF,Tottenham,31,515.0,0.01,0.0,0.01,0.01,0.01,18.0,0.87,4.0,0.0,0.0,0.0,0.0,29.0,18,3.145631067961165,5.067961165048543
113,Leander Dendoncker 18,MF,Wolves,23,1467.0,0.16,0.07,0.23,0.16,0.23,35.0,1.41,19.0,0.0,1.0,2.0,1.0,33.0,18,2.147239263803681,2.0245398773006134
114,Laurent Depoitre 18,FW,Huddersfield,29,1068.0,0.33,0.08,0.41,0.33,0.41,15.0,1.69,17.0,0.0,0.0,1.0,2.0,14.0,18,1.2640449438202246,1.1797752808988764
115,Gerard Deulofeu 18,FW,Watford,24,2066.0,0.35,0.23,0.58,0.35,0.58,73.0,3.75,63.0,2.0,14.0,1.0,2.0,192.0,18,3.180058083252662,8.363988383349467
116,Fousseni Diabaté 18,FW,Leicester City,22,54.0,0.0,0.24,0.24,0.0,0.24,0.0,3.33,2.0,0.0,0.0,0.0,0.0,1.0,18,0.0,1.6666666666666667
